OTU ,phylum,order,family,genus,bin
denovo25650,unidentified,unidentified,unidentified,unidentified,unidentified
denovo25808,unidentified,unidentified,unidentified,unidentified,unidentified
denovo26287,unidentified,unidentified,unidentified,unidentified,unidentified
denovo26606,unidentified,unidentified,unidentified,unidentified,unidentified
denovo26977,unidentified,unidentified,unidentified,unidentified,unidentified
denovo27124,unidentified,unidentified,unidentified,unidentified,unidentified
denovo27542,unidentified,unidentified,unidentified,unidentified,unidentified
denovo27698,unidentified,unidentified,unidentified,unidentified,unidentified
denovo28154,unidentified,unidentified,unidentified,unidentified,unidentified
denovo28481,unidentified,unidentified,unidentified,unidentified,unidentified
denovo29049,unidentified,unidentified,unidentified,unidentified,unidentified
denovo2936,unidentified,unidentified,unidentified,unidentified,unidentified
denovo30127,unidentified,unidentified,unidentified,unidentified,unidentified
denovo32380,unidentified,unidentified,unidentified,unidentified,unidentified
denovo33275,unidentified,unidentified,unidentified,unidentified,unidentified
denovo33431,unidentified,unidentified,unidentified,unidentified,unidentified
denovo33962,unidentified,unidentified,unidentified,unidentified,unidentified
denovo3413,unidentified,unidentified,unidentified,unidentified,unidentified
denovo35124,unidentified,unidentified,unidentified,unidentified,unidentified
denovo35982,unidentified,unidentified,unidentified,unidentified,unidentified
denovo3963,unidentified,unidentified,unidentified,unidentified,unidentified
denovo4494,unidentified,unidentified,unidentified,unidentified,unidentified
denovo4778,unidentified,unidentified,unidentified,unidentified,unidentified
denovo5106,unidentified,unidentified,unidentified,unidentified,unidentified
denovo5187,unidentified,unidentified,unidentified,unidentified,unidentified
denovo5272,unidentified,unidentified,unidentified,unidentified,unidentified
denovo6838,unidentified,unidentified,unidentified,unidentified,unidentified
denovo7139,unidentified,unidentified,unidentified,unidentified,unidentified
denovo7380,unidentified,unidentified,unidentified,unidentified,unidentified
denovo7482,unidentified,unidentified,unidentified,unidentified,unidentified
denovo7571,unidentified,unidentified,unidentified,unidentified,unidentified
denovo7604,unidentified,unidentified,unidentified,unidentified,unidentified
denovo8124,unidentified,unidentified,unidentified,unidentified,unidentified
denovo8400,unidentified,unidentified,unidentified,unidentified,unidentified
denovo8882,unidentified,unidentified,unidentified,unidentified,unidentified
denovo9776,unidentified,unidentified,unidentified,unidentified,unidentified
denovo995,unidentified,unidentified,unidentified,unidentified,unidentified
denovo21547,unidentified,unidentified,unidentified,unidentified,unidentified
denovo23745,unidentified,unidentified,unidentified,unidentified,unidentified
denovo26546,unidentified,unidentified,unidentified,unidentified,unidentified
denovo6280,unidentified,unidentified,unidentified,unidentified,unidentified
denovo8631,unidentified,unidentified,unidentified,unidentified,unidentified
denovo9620,unidentified,unidentified,unidentified,unidentified,unidentified
denovo6834,unidentified,unidentified,unidentified,unidentified,unidentified
denovo7858,unidentified,unidentified,unidentified,unidentified,unidentified
denovo24173,Basidiomycota,Tremellales,Bulleraceae,Vishniacozyma,Vishniacozyma victoriae
denovo2522,Basidiomycota,Tremellales,Bulleraceae,Vishniacozyma,Vishniacozyma victoriae
denovo23110,Basidiomycota,Tremellales,Bulleraceae,Vishniacozyma,Vishniacozyma sp. 
denovo31383,Basidiomycota,Tremellales,Bulleraceae,Vishniacozyma,Vishniacozyma sp. 
denovo33718,Basidiomycota,Tremellales,Bulleraceae,Vishniacozyma,Vishniacozyma heimaeyensis
denovo5541,Basidiomycota,Tremellales,Bulleraceae,Vishniacozyma,Vishniacozymas carnescens
denovo8544,Basidiomycota,Tremellales,Bulleraceae,Vishniacozyma,Vishniacozyma carnescens
denovo24146,Basidiomycota,Tremellales,Bulleraceae,Vishniacozyma,Vishniacozyma foliicola
denovo16929,Basidiomycota,Polyporales,Polyporaceae,Yuchengia,Yuchengia narymica
